code,name,sido,sigungu,eupmyeondong,ri,status,level,parent_code,sido_abbr,sido_en,name_en
4119390900,경기도 부천시 남구 심곡1동,경기도,부천시 남구,심곡1동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Simgok1-dong
4119391000,경기도 부천시 남구 소사1동,경기도,부천시 남구,소사1동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Sosa1-dong
4119391100,경기도 부천시 남구 소사2동,경기도,부천시 남구,소사2동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Sosa2-dong
4119391200,경기도 부천시 남구 소사3동,경기도,부천시 남구,소사3동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Sosa3-dong
4119391300,경기도 부천시 남구 역곡1동,경기도,부천시 남구,역곡1동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Yeokgok1-dong
4119391400,경기도 부천시 남구 역곡2동,경기도,부천시 남구,역곡2동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Yeokgok2-dong
4119400000,경기도 부천시 소사구,경기도,부천시 소사구,,,존재,2,4119000000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu
4119410100,경기도 부천시 소사구 소사본동,경기도,부천시 소사구,소사본동,,존재,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Sosabon-dong
4119410200,경기도 부천시 소사구 심곡본동,경기도,부천시 소사구,심곡본동,,존재,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Simgokbon-dong
4119410300,경기도 부천시 소사구 범박동,경기도,부천시 소사구,범박동,,존재,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Beombak-dong
4119410400,경기도 부천시 소사구 괴안동,경기도,부천시 소사구,괴안동,,존재,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Goean-dong
4119410500,경기도 부천시 소사구 송내동,경기도,부천시 소사구,송내동,,존재,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Songnae-dong
4119410600,경기도 부천시 소사구 옥길동,경기도,부천시 소사구,옥길동,,존재,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Okgil-dong
4119410700,경기도 부천시 소사구 계수동,경기도,부천시 소사구,계수동,,존재,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Gyesu-dong
4119500000,경기도 부천시 원미구,경기도,부천시 원미구,,,폐지,2,4119000000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu
4119500100,경기도 부천시 원미구 여월동,경기도,부천시 원미구,여월동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Yeowol-dong
4119500200,경기도 부천시 원미구 작동,경기도,부천시 원미구,작동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Jak-dong
4119500300,경기도 부천시 원미구 송내동,경기도,부천시 원미구,송내동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Songnae-dong
4119510100,경기도 부천시 원미구 원미동,경기도,부천시 원미구,원미동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Wonmi-dong
4119510200,경기도 부천시 원미구 심곡동,경기도,부천시 원미구,심곡동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Simgok-dong
4119510300,경기도 부천시 원미구 춘의동,경기도,부천시 원미구,춘의동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Chunui-dong
